"pseudo_id","churn_probability","predicted_class"
"7b5e74b0b35e65c436794b3673ee03a8",0.14786422252655,"Yes"
"7b74009236e8b58936ab88e293fa7c7d",0.0590352937579155,"No"
"7fcfd5b9e8ade3613c73b0c8270fabb4",0.0100065395236015,"No"
"807140c18ac69fe5e80575caee161c43",0.00291200820356607,"No"
"80cfaf94b170f141e28861a07d09d476",0.00878649391233921,"No"
"81650fef63fd494f8fb784e3f2b35c4f",0.0684396922588348,"No"
"8238b5ba161f0e8d1d88e2cb45fb6c49",0.0352346487343311,"No"
"83da59eb70f526294fc5903113df888f",0.0115405116230249,"No"
"84447f9cb63fd99af29bac9210b20630",0.072269581258297,"No"
"848ee26ce93babd7d9d9d93b2df65b6b",0.654756486415863,"Yes"
"89fe18e88ee14abb6b80d6c2bffe70fe",0.101770594716072,"Yes"
"8a239924445f96f10127646a4856955e",0.00523378467187285,"No"
"8bb9a07142551de94074b33e7aed10b4",0.0134546793997288,"No"
"8be83d73b038d09aead452870daaac86",0.0103423604741693,"No"
"8d6db829e8ec4283d3d84a0f47ef3c8e",0.041199579834938,"No"
"9085842c1a16035b84b13ba7366a831b",0.00434388918802142,"No"
"928b157e4e5cadd4d92b31f0458e8a25",0.0132630690932274,"No"
"92cd67180417eb40d415c800fed452bf",0.0316254682838917,"No"
"93e230b871260afcd9027dfe1742fd01",0.0233803391456604,"No"
"941c2b3054d4aff517aef077da1ed7a0",0.234232664108276,"Yes"
"95a2228013a28207e917ce359ee6a7ef",0.011555502191186,"No"
"97beab50358c19e80a9d7854ec4d2d58",0.0978541225194931,"Yes"
"9a521d66e5b717f7f3fd33bda2026c9d",0.00278991414234042,"No"
"a3f22adaaa3f71c5dbda11ce952938c8",0.00428654672577977,"No"
"a849d9488b9cdf59051a61d3ef094af8",0.0125421853736043,"No"
"aa345f66c3734ec28ca44313506d22f4",0.309335500001907,"Yes"
"aace5950e6b447f75724c6edebe9b719",0.138340160250664,"Yes"
"abeb1d79971bcb963d77fc429fdc130d",0.0361252315342426,"No"
"ae1d3d9df70b5a5b933464df7ba958a2",0.867343485355377,"Yes"
"aed43496c0d53754a9d1c1e42cdc55d6",0.00968350935727358,"No"
"afdd170767f40ce0175d30926b5de7d8",0.0242786165326834,"No"
"b2a735ace0cd594f47ca9b0b2746514a",0.00382820423692465,"No"
"b4d3412295cc2cdfc094904ec09d62d8",0.224088117480278,"Yes"
"b716ad43db052a060b2556ee56f4f599",0.00760510982945561,"No"
"b9fcb0eed6c3143d5102e67740a162f5",0.0593532733619213,"No"
"be6357d225a5c19f09acf6fbc6015653",0.046256348490715,"No"
"c402e82b274b94ea1c549636425759a2",0.0509723424911499,"No"
"c4787528228f697c489493f9dbc30683",0.0105335330590606,"No"
"c806f370485dca6c667bf0c1000c949e",0.0361052118241787,"No"
"c9e12beabccbe760eb991404a1a6d8a8",0.889139950275421,"Yes"
"cdcf80d158f378db78d1d8fadb387ab8",0.0178536456078291,"No"
