Dim1,Dim2,cluster
-0.056941374349348796,-0.08516974449685706,1
0.047966183518135704,-0.02638452198645162,1
0.1308078924911223,0.06245716421886738,2
-0.08807423097052779,0.2003641486742629,3
-0.0927731225366504,-0.00290262097557133,1
0.16435585176542664,-0.04606784989464565,2
-0.07025248877467477,-0.08153043153922115,4
-0.14089189617956202,0.15269674000342792,3
0.059633299038457585,-0.03191600062577124,2
-0.05006510824682378,-0.12817216246468324,4
-0.07189538083397685,0.02246665306730215,4
-0.06484930942919546,-0.04458886338884097,4
0.17034440353170988,-0.10343631092774003,2
0.012713584323081844,-0.04052393873268717,1
-0.04332540980249833,-0.11893326742644754,4
0.006283140965883859,-0.03315010345603467,1
0.027647809700901603,0.12130604808927553,3
-0.04715954516553212,0.025885220616528044,3
-0.06956024179433855,0.06817929775177566,4
0.06537287119693085,0.04465644428032169,1
-0.0593730255827255,0.1101466809557761,3
-0.07858181138761552,-0.03038505568318264,4
-0.08279771923804365,0.028319909592523004,4
-0.07011685596645582,0.073647574287136,4
-0.06626717638727245,-0.04336841466074478,4
0.08728496847355927,-0.05257284931659528,1
0.09366062541004996,-0.14537188673960844,1
-0.09889120637969266,0.14596117598534866,3
-0.09518206099882875,-0.019202630582478158,3
-0.12119173738631085,0.06617238721752514,3
-0.11754621042898783,0.10681154748282044,3
-0.013569500449307596,-0.010367452791900359,1
-0.061976247533483325,-0.05656610008617773,4
-0.11197561571858351,0.12879047227044452,3
0.07775126942262743,-0.04163430902976577,1
-0.07690525361954742,-0.04957373393429813,4
0.13308778160468035,-0.09785625393726166,2
0.041053698003160256,0.05557548438239583,1
-0.06805899700045225,0.12180776365223535,3
0.04463780579417738,-0.03650491863747125,4
-0.07215100436167984,-0.07892177962411423,4
0.0752754704482055,-0.05867493374927381,2
-0.10221059789343782,0.16805927098132956,3
-0.07155787299247063,-0.05027922152850321,1
-0.03989510014490742,-0.18405443678857727,4
0.10209954224495367,0.11494081261899289,2
0.058952310579856726,-0.07610465498302277,4
0.03620575541183778,-0.06650674351812973,1
-0.0662737547954301,-0.04917429442248943,4
0.04722820702178639,-0.11244572825914416,1
-0.10341971840410648,0.08362638904276905,3
-0.05986296271240691,-0.07247626090315742,4
-0.08359719823781665,0.0982348616284527,3
-0.05062585231804176,-0.04142494132062781,4
0.02110795496783634,-0.011840162181355675,1
0.1516703110594392,-1.9385807990177648e-4,2
-0.0765667125041843,0.10938480745400435,3
-0.09018603044182968,0.06994940006234746,3
-0.08475558103032414,-0.07394201554051447,4
0.043117791803029173,-0.14030146095085136,1
-0.1260815770223517,0.14226573214922383,3
0.04196292560749493,-0.022712901683353312,1
0.07121084844775999,-0.015739660585727722,1
0.16052388775911755,-0.04232809112301187,2
-0.056291770840615124,-0.16649872647642253,4
-0.06373261596455969,0.11008033058756186,3
0.018524302025382064,0.10401697903111273,1
0.0577303050450494,-0.001544647426029451,3
-0.11540981302659382,0.14544831548663772,3
-0.10598104142565055,0.05602635785812979,4
0.013671013675461335,0.0030303080269246377,1
0.05301433115266056,-0.02439939401022239,1
0.07597705330527042,-0.052029996550583026,2
-0.07974672105415394,0.016943932451092197,4
0.04949627871845007,-0.06714601923900695,1
-0.08497406479361659,0.05321117597692042,3
-0.06995984816601142,0.04419678376674069,4
0.08357455569875692,-0.07782533628895959,2
-0.04266284030549193,-0.08037340324293098,4
-0.06812077595446461,-0.1727786456991204,4
0.0022035037584361944,0.006722022768649006,1
-0.08156026237855467,-0.006104277283817031,4
0.058240645431647205,0.08272540052549539,1
0.07633154376036819,0.06580665525291207,2
0.018815291028633926,0.03807621309756381,1
-0.1127752106274295,0.02814351670560778,3
-0.07491898560808029,-0.009347004527115099,4
-0.1243954037706868,0.07128203983775823,3
-0.07377895016592272,0.014589446285881533,4
0.018935998414193564,-0.004328240361691045,4
0.15470061587200168,-0.044622056425845165,2
0.027494612893308363,0.09692052882112864,1
0.18379101966936304,-0.13927343944869855,2
-0.11639731693934395,0.02187289023723731,4
0.07164445507131685,0.12967725871879046,2
-0.09007822221070312,-0.032468775154020926,3
0.018559104874237897,-0.020888257854093477,4
0.18943941575588266,-0.06812976742245469,2
-0.04241388500937934,-0.04066321450214532,4
0.14204442233958836,0.1451531934302214,2
0.14277248412617694,0.0012108568068586033,2
-0.08263272684935453,-0.05373327424520395,4
0.10266339163945024,-0.021027776327529175,1
0.1381466175193041,0.021035645545420496,2
-0.07400741388075004,-0.015934655587353692,4
-0.07708857188243345,0.010557438599512858,4
-0.10499766423425186,-0.03927486164099549,3
0.08478193898475293,-0.022431750043102446,1
-0.10325729839754164,0.07823961134735995,3
-0.08653243320415292,0.03964847552461746,4
-0.07330003019636525,-0.014684482582811308,4
-0.06507036165067275,-0.13302348845557452,4
-0.08415713193680105,-0.0777125978979352,4
-0.12333309127123501,0.20816113733553948,3
-0.07827780997793671,-0.037133647816500755,1
0.07844212542352376,-0.051381439136845904,1
-0.07183780165942898,-0.07407007958071352,4
-0.08949975336067457,-0.016406733420186635,4
-0.05050730762773675,-0.11117613756329446,4
-0.08731976141926279,-0.06979219661632288,4
0.07792709748111878,0.07842603650419891,1
-0.05293821553856042,-0.07050983862529384,4
0.08777431099002948,-0.07103212692847878,1
-0.0726705394770987,-0.04093174527794437,3
0.05768126444365664,0.018916914377450012,2
0.1261559173417387,0.20328185774011714,2
-0.0857390168503555,-0.056308368239417456,4
0.10579931774093294,-0.06801938445246587,2
0.05206757520882704,0.022883021570193052,2
0.056503527861067666,-0.06326675940474107,4
0.10732325005423272,-0.02360540538007195,1
-0.06679986772550485,0.03324674971818216,3
-0.0709635881036574,-0.054652249600057025,4
0.061888226138677886,0.008117384304339366,2
0.12657065383706334,0.04877207599932449,2
-0.07562796157302566,-0.09214149841865356,4
0.14293823017518476,0.14755631293002575,2
0.02490873101147438,-0.06952451663441458,4
-0.08075466234096836,-0.012730785060047259,4
0.13292532298826737,0.19954478445008073,2
-8.274190952047334e-4,-0.05534353842061511,1
0.07089020385084865,0.04667398464729437,2
-0.042369671700490254,-0.05297867165622695,4
-0.036884653376588104,-0.07325556321089144,4
-0.10190414707617258,0.059497966664790236,4
-0.07932907116650856,0.06769858279155255,3
0.058836680113293176,-0.025113328016609593,1
-0.06988463903518839,-0.056704410057578876,4
0.01271719781863718,0.01526637051264865,1
-0.07839491864045459,-0.043945026815295475,4
-0.07868856033977553,0.04950535976735939,3
0.03445537002545756,0.11767115947896149,4
-0.03906801085591749,-0.09432485328999934,4
-0.06290959373457795,-0.0918155718422524,4
0.08142404595937033,0.16145727341539373,2
0.05344162047107352,0.051013930599178935,1
-0.0825627785327696,-0.048863123174372844,4
0.14742939199529595,0.27091937019377793,2
-0.05840144460721525,-0.1531768366585301,4
-0.09642460467040796,0.09689781196073359,3
-0.08427831095938841,-0.08563288490070368,4
0.010022586742193557,-0.027409276697481402,1
-0.04832611506962681,-0.1650081596892205,4
-0.09647723011660841,0.14449787192510943,3
-0.09194459323387413,0.03585616208459646,3
0.07453621667183906,-0.07740865542479419,2
0.028380814685856515,0.03309545925070269,1
0.03923101832036375,-0.07801336847168153,1
-0.07433213880790805,-0.06876163891802356,4
-0.07798570241128647,-0.08444572855720159,4
0.13918208315355407,0.11155011416158528,2
0.04786682999414282,-0.08622055068242546,4
-0.03683073380778563,-0.0975072104202418,4
0.0509423858103298,0.2040484184887721,1
0.05891884177397538,0.07236586799071237,1
-0.08548645027622313,-0.017901224841952033,4
0.042872937227843154,0.06991937130850741,1
0.07630914529390645,0.20973007567405327,2
-0.11507785062828525,0.008815681239428599,4
-0.08591098270449374,0.07185816105080291,1
0.06039649182265114,0.011571511009500504,1
-0.12824844157311605,0.19120666883197343,3
-0.05200316790999124,0.03511649440958206,4
-0.07145593620193626,6.235610513099941e-4,4
-0.12088310805744532,0.0959363182536902,3
0.10617201944654565,-0.07735851463659303,2
-0.08438013942025752,0.037391482115860714,4
0.12493235878426229,-0.07207770905588712,2
-0.05636091801330206,-0.09252240408517437,4
-0.09208717975517966,0.09545373364567337,3
0.023443495514318666,0.09262044924612649,1
-0.06089236070008037,-0.05360195181145145,4
