"scenario","højrisiko_kunder","reddede_kunder","besparelse_3m","besparelse_6m","besparelse_12m"
"5% (Worst case)",85,4,2537,5074,10149
"15% (Realistisk)",85,13,7612,15224,30447
"25% (Optimistisk)",85,21,12686,25372,50745
